left_issuer,left_proposal,left_identifier,right_issuer,right_proposal,right_identifier,confidence,reason,match_type
A.O. SMITH CORPORATION,Electing Todd W. Fister as director,2025-04-08||831865||01||Todd W. Fister,AO Smith Corp,Elect Todd W. Fister,772_1.07,1,Both proposals are for electing Todd W. Fister as director.,gpt_matched
A.O. SMITH CORPORATION,Electing Michael M. Larsen as director,2025-04-08||831865||02||Michael M. Larsen,AO Smith Corp,Elect Michael M. Larsen,772_1.08,1,Both proposals are for electing Michael M. Larsen as director.,gpt_matched
A.O. SMITH CORPORATION,Electing Lois M. Martin as director,2025-04-08||831865||03||Lois M. Martin,AO Smith Corp,Elect Lois M. Martin,772_1.09,1,Both proposals are for electing Lois M. Martin as director.,gpt_matched
A.O. SMITH CORPORATION,Electing Adrian I. Peace as director,2025-04-08||831865||04||Adrian I. Peace,AO Smith Corp,,,0,unmatched_left,unmatched
A.O. SMITH CORPORATION,"Proposal to approve, by nonbinding advisory vote, the compensation of our named executive officers.","2025-04-08||831865||Proposal to approve, by nonbinding advisory vote, the compensation of our named executive officers.||-1||-1",AO Smith Corp,,,0,unmatched_left,unmatched
A.O. SMITH CORPORATION,Proposal to ratify the appointment of Ernst & Young LLP as the independent registered public accounting firm of the corporation.,2025-04-08||831865||Proposal to ratify the appointment of Ernst & Young LLP as the independent registered public accounting firm of the corporation.||-1||-1,AO Smith Corp,,,0,unmatched_left,unmatched
A.O. SMITH CORPORATION,"Stockholder proposal requesting a Board report on our hiring practices with respect to formerly incarcerated people, if properly presented at the Annual Meeting.","2025-04-08||831865||Stockholder proposal requesting a Board report on our hiring practices with respect to formerly incarcerated people, if properly presented at the Annual Meeting.||-1||-1",AO Smith Corp,,,0,unmatched_left,unmatched
"BLOOMIN' BRANDS, INC.",,,Edible Garden AG Inc,Amendment to the 2022 Equity Incentive Plan,55171_3,0,unmatched_right,unmatched
CITIGROUP INC.,Advisory vote to approve our 2024 Executive Compensation.,2025-04-29||172967||Advisory vote to approve our 2024 Executive Compensation.||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Approval of additional shares for the Citigroup 2019 Stock Incentive Plan.,2025-04-29||172967||Approval of additional shares for the Citigroup 2019 Stock Incentive Plan.||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Casper W. von Koskull,2025-04-29||172967||Election of Director: Casper W. von Koskull||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Diana L. Taylor,2025-04-29||172967||Election of Director: Diana L. Taylor||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Duncan P. Hennes,2025-04-29||172967||Election of Director: Duncan P. Hennes||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Ellen M. Costello,2025-04-29||172967||Election of Director: Ellen M. Costello||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Gary M. Reiner,2025-04-29||172967||Election of Director: Gary M. Reiner||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Grace E. Dailey,2025-04-29||172967||Election of Director: Grace E. Dailey||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: James S. Turley,2025-04-29||172967||Election of Director: James S. Turley||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Jane N. Fraser,2025-04-29||172967||Election of Director: Jane N. Fraser||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: John C. Dugan,2025-04-29||172967||Election of Director: John C. Dugan||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Peter B. Henry,2025-04-29||172967||Election of Director: Peter B. Henry||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
