left_name,right_name_cusip,right_name_names
"ACLARION, INC.","Aclarion, Inc.","Aclarion, Inc."
"ORAGENICS, INC.",Oragenics Inc.,Oragenics Inc.
SELECT MEDICAL HOLDINGS CORPORATION,Select Medical Holdings Corporation,
SONOCO PRODUCTS COMPANY,Sonoco Products Company,
LATTICE SEMICONDUCTOR CORPORATION,Lattice Semiconductor Corporation,Lattice Semiconductor Corporation
"CITIZENS FINANCIAL GROUP, INC.",Citizens Financial Group Inc,Citizens Financial Group Inc
"AUTONATION, INC.",AutoNation Inc.,
HERBALIFE LTD.,Herbalife Nutrition Ltd,Herbalife Nutrition Ltd
"NATIONAL CINEMEDIA, INC.",National CineMedia Inc.,National CineMedia Inc.
"BLOOMIN' BRANDS, INC.",Bloomin' Brands Inc.,
"INTUITIVE SURGICAL, INC.",Intuitive Surgical Inc.,
REGIONS FINANCIAL CORPORATION,Regions Financial Corporation,
"CITIUS PHARMACEUTICALS, INC.",Citius Pharmaceuticals Inc,Citius Pharmaceuticals Inc
"PHARMACYTE BIOTECH, INC.",PharmaCyte Biotech Inc,PharmaCyte Biotech Inc
"DOMINO'S PIZZA, INC.",Domino's Pizza Inc,
"ANIXA BIOSCIENCES, INC.","Anixa Biosciences, Inc.","Anixa Biosciences, Inc."
"PLBY GROUP, INC.",	Playboy Inc.,
"TEXAS CAPITAL BANCSHARES, INC.",Texas Capital Bancshares Inc.,Texas Capital Bancshares Inc.
"PETROS PHARMACEUTICALS, INC.","Petros Pharmaceuticals, Inc.","Petros Pharmaceuticals, Inc."
A.O. SMITH CORPORATION,AO Smith Corp,AO Smith Corp
TD SYNNEX CORPORATION,TD SYNNEX Corporation,
"SERES THERAPEUTICS, INC.",Seres Therapeutics Inc,Seres Therapeutics Inc
NUVVE HOLDING CORP.,Nuvve Holding Corp.,Nuvve Holding Corp.
PREDICTIVE ONCOLOGY INC.,Predictive Oncology Inc.,Predictive Oncology Inc.
"AMTECH SYSTEMS, INC.",Amtech Systems Inc.,Amtech Systems Inc.
"ALICO, INC.",Alico Inc.,Alico Inc.
"REGIONAL HEALTH PROPERTIES, INC.",Regional Health Properties,Regional Health Properties
MATTHEWS INTERNATIONAL CORPORATION,Matthews International Corporation,Matthews International Corporation
JEWETT-CAMERON TRADING COMPANY LTD.,Jewett-Cameron Trading Company,Jewett-Cameron Trading Company
MODULAR MEDICAL INC,"Modular Medical, Inc.","Modular Medical, Inc."
"AIR PRODUCTS AND CHEMICALS, INC.",Air Products and Chemicals Inc.,Air Products and Chemicals Inc.
FOXO TECHNOLOGIES INC.,FOXO Technologies Inc.,FOXO Technologies Inc.
"DIGITAL ALLY, INC.",Digital Ally Inc.,Digital Ally Inc.
TECHPRECISION CORPORATION,Techprecision Corporation,Techprecision Corporation
"LIBERTY TRIPADVISOR HOLDINGS, INC.",Liberty TripAdvisor Holdings Inc,Liberty TripAdvisor Holdings Inc
"THE GOLDMAN SACHS GROUP, INC.",Goldman Sachs Group Inc. (The),
PEOPLES FINANCIAL CORPORATION,Peoples Financial Corporation,Peoples Financial Corporation
"LITHIA MOTORS, INC.",Lithia Motors Inc.,
INGEVITY CORPORATION,Ingevity Corp,Ingevity Corp
"FIREFLY NEUROSCIENCE, INC.","Firefly Neuroscience, Inc.","Firefly Neuroscience, Inc."
"SIMULATIONS PLUS, INC.",Simulations Plus Inc.,Simulations Plus Inc.
"CROWN HOLDINGS, INC.",Crown Holdings Inc.,
IQVIA HOLDINGS INC.,IQVIA Holdings Inc,
"NANOVIBRONIX, INC.",NanoVibronix Inc,NanoVibronix Inc
"BERRY GLOBAL GROUP, INC.",Berry Global Group Inc,Berry Global Group Inc
"FIRST SAVINGS FINANCIAL GROUP, INC.",First Savings Financial Group Inc.,First Savings Financial Group Inc.
