final_key,job_number,issuer_name,service,cusip6,mt_date,ml_date,record_date,mgmt_rec,proposal,proposal_type,director_number,director_name,Category,Subcategory,Mini_Category,Mini_Subcategory,final_Category,final_Subcategory
"2025-03-11||28252B||To approve the adjournment of the Special Meeting to a later date if necessary to solicit additional proxies if there are not sufficient votes to approve any of the foregoing proposals at the time of the Special Meeting, or any adjournment or postponement thereof.||-1||-1",S06269,1847 HOLDINGS LLC,BD,28252B,3/11/2025,2/4/2025,1/22/2025,F,"To approve the adjournment of the Special Meeting to a later date if necessary to solicit additional proxies if there are not sufficient votes to approve any of the foregoing proposals at the time of the Special Meeting, or any adjournment or postponement thereof.",MG,-1,-1,Shareholder Rights,Omnibus Stock Plan,Shareholder Rights,Meeting Management,Shareholder Rights,Meeting Management
"2025-03-11||28252B||To approve Amendment No. 3 to the 1847 Holdings LLC 2023 Equity Incentive Plan to increase the share reserve to 5,000,000 common shares.||-1||-1",S06269,1847 HOLDINGS LLC,BD,28252B,3/11/2025,2/4/2025,1/22/2025,F,"To approve Amendment No. 3 to the 1847 Holdings LLC 2023 Equity Incentive Plan to increase the share reserve to 5,000,000 common shares.",MG,-1,-1,Shareholder Equity,Capital Accumulation Plan,Compensation,Omnibus Stock Plan,Shareholder Equity,Authorize Stock Increase
"2025-03-11||28252B||Approval has been granted to issue all common shares related to the exercise of Pre-funded warrants, December Series A warrants, and December Series B warrants, all of which were issued on December 16, 2024. This approval encompasses shares issued due to adjustments in warrant terms, including voluntary price adjustments, modifications after a Share Combination Event, changes following the Reset Date, issuance adjustments after a Dilutive Issuance, and alternative cashless exercise provisions.||-1||-1",S06269,1847 HOLDINGS LLC,BD,28252B,3/11/2025,2/4/2025,1/22/2025,F,"Approval has been granted to issue all common shares related to the exercise of Pre-funded warrants, December Series A warrants, and December Series B warrants, all of which were issued on December 16, 2024. This approval encompasses shares issued due to adjustments in warrant terms, including voluntary price adjustments, modifications after a Share Combination Event, changes following the Reset Date, issuance adjustments after a Dilutive Issuance, and alternative cashless exercise provisions.",MG,-1,-1,Shareholder Equity,,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Warrants/Bonds/Notes
"2025-03-11||28252B||To approve Amendment No. 4 to the Second Amended and Restated Operating Agreement of the Company to increase the number of authorized common shares to 2,000,000,000 shares.||-1||-1",S06269,1847 HOLDINGS LLC,BD,28252B,3/11/2025,2/4/2025,1/22/2025,F,"To approve Amendment No. 4 to the Second Amended and Restated Operating Agreement of the Company to increase the number of authorized common shares to 2,000,000,000 shares.",MG,-1,-1,Corporate Structure,Supermajority Voting,Shareholder Equity,Authorize Stock Increase,Shareholder Equity,Authorize Stock Increase
2025-04-17||002121||Election of Director to serve until the 2026 annual meeting of stockholders and until their successors are duly elected and qualified: Eric Singer||-1||-1,P24770,"A10 NETWORKS, INC.",BN,2121,4/17/2025,3/12/2025,2/21/2025,F,Election of Director to serve until the 2026 annual meeting of stockholders and until their successors are duly elected and qualified: Eric Singer,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2024-12-31||655187||Proposal to amend our certificate of incorporation to effect a reverse stock split.||-1||-1,P21745,"ACLARION, INC.",BN,655187,12/31/2024,12/5/2024,11/15/2024,F,Proposal to amend our certificate of incorporation to effect a reverse stock split.,MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-04-17||007025||To approve, for the purpose of Nasdaq Marketplace Rule 5635(d), the issuance of shares of common stock underlying common stock purchase warrants originally issued by the Company in July 2024 (the ""July Warrant Proposal"").||-1||-1",Z89366,"ADITXT, INC.",BN,7025,4/17/2025,1/31/2025,1/23/2025,F,"To approve, for the purpose of Nasdaq Marketplace Rule 5635(d), the issuance of shares of common stock underlying common stock purchase warrants originally issued by the Company in July 2024 (the ""July Warrant Proposal"").",MG,-1,-1,Corporate Actions,Spin Off,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Stock Issuance
"2025-04-17||007025||To approve, for the purpose of Nasdaq Marketplace Rule 5635(d), the issuance of shares of common stock underlying shares of Series A-1 Convertible Preferred Stock originally issued by the Company in December 2023 (the ""Series A-1 Proposal"").||-1||-1",Z89366,"ADITXT, INC.",BN,7025,4/17/2025,1/31/2025,1/23/2025,F,"To approve, for the purpose of Nasdaq Marketplace Rule 5635(d), the issuance of shares of common stock underlying shares of Series A-1 Convertible Preferred Stock originally issued by the Company in December 2023 (the ""Series A-1 Proposal"").",MG,-1,-1,Shareholder Equity,Quorum Requirements,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Issuance
"2025-04-17||007025||To approve, for the purpose of Nasdaq Marketplace Rule 5635(d), the issuance of shares of common stock underlying shares of Series C-1 Convertible Preferred Stock and common stock purchase warrants originally issued by the Company in May 2024 and August 2024 (the ""Series C-1 Proposal"").||-1||-1",Z89366,"ADITXT, INC.",BN,7025,4/17/2025,1/31/2025,1/23/2025,F,"To approve, for the purpose of Nasdaq Marketplace Rule 5635(d), the issuance of shares of common stock underlying shares of Series C-1 Convertible Preferred Stock and common stock purchase warrants originally issued by the Company in May 2024 and August 2024 (the ""Series C-1 Proposal"").",MG,-1,-1,Corporate Actions,Spin Off,Shareholder Equity,Stock Conversion,Shareholder Equity,Stock Issuance
"2025-04-17||007025||To grant discretionary authority to our BOD to (i) amend our certificate of incorporation to combine outstanding shares of our common stock into a lesser number of outstanding shares, or a ""reverse stock split,"" at a specific ratio within a range of one-for-five (1:5) to a maximum of a one-for-two hundred fifty (1:250) split, with the exact ratio to be determined by our BOD in its sole discretion; and (ii) effect the reverse stock split, if at all, within one year of the date the proposal is approved by stockholders (the ""Reverse Stock Split Proposal"").||-1||-1",Z89366,"ADITXT, INC.",BN,7025,4/17/2025,1/31/2025,1/23/2025,F,"To grant discretionary authority to our BOD to (i) amend our certificate of incorporation to combine outstanding shares of our common stock into a lesser number of outstanding shares, or a ""reverse stock split,"" at a specific ratio within a range of one-for-five (1:5) to a maximum of a one-for-two hundred fifty (1:250) split, with the exact ratio to be determined by our BOD in its sole discretion; and (ii) effect the reverse stock split, if at all, within one year of the date the proposal is approved by stockholders (the ""Reverse Stock Split Proposal"").",MG,-1,-1,,,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
